axis_lat,axis_lon,r2,rmse
-30.0,60.0,0.0006329373582697473,33.573231629061745
-30.0,62.0,0.0006485439199026555,33.57296948076117
-30.0,64.0,0.0006616874942265705,33.572748702441444
-30.0,66.0,0.0006723331091066376,33.57256988236595
-30.0,68.0,0.000680463150475652,33.57243331708001
-30.0,70.0,0.0006860758554236845,33.57233903671211
-30.0,72.0,0.0006891838881870616,33.572286828888174
-30.0,74.0,0.0006898130207494413,33.5722762608938
-30.0,76.0,0.0006880009335508142,33.5723066998232
-30.0,78.0,0.0006837961464549736,33.57237733054396
-30.0,80.0,0.0006772570856166116,33.57248717138206
-30.0,82.0,0.0006684512881731663,33.57263508749452
-30.0,84.0,0.0006574547436490885,33.572819801947595
-30.0,86.0,0.0006443513685514546,33.57303990455956
-30.0,88.0,0.000629232608690744,33.573293858599385
-30.0,90.0,0.0006121971622491396,33.57358000545836
-30.0,92.0,0.0005933508153672662,33.57389656743262
-30.0,94.0,0.0005728063810074291,33.57424164877167
-30.0,96.0,0.0005506837309290358,33.57461323516344
-30.0,98.0,0.000527109909769119,33.57500919184076
-30.0,100.0,0.000502219319335806,33.57542726050871
-30.0,102.0,0.0004761539602827769,33.57586505530837
-30.0,104.0,0.0004490637172808176,33.57632005804989
-30.0,106.0,0.0004211066726038659,33.57678961296812
-30.0,108.0,0.0003924494316881466,33.57727092127661
-30.0,110.0,0.00036326744270598343,33.57776103582121
-28.0,40.0,0.00043026009222657535,33.57663587665448
-28.0,42.0,0.0004665332910454012,33.57602664300637
-28.0,44.0,0.0005017133134456175,33.57543575945796
-28.0,46.0,0.0005355212630298034,33.57486791144185
-28.0,48.0,0.0005677072827617868,33.57432729690063
-28.0,50.0,0.0005980507463536622,33.57381762299971
-28.0,52.0,0.0006263599120710506,33.57334211187115
-28.0,54.0,0.0006524711311338693,33.57290351384255
-28.0,56.0,0.000676247702480981,33.57250412661202
-28.0,58.0,0.0006975784616165548,33.57214581889694
-28.0,60.0,0.0007163761845172534,33.57183005719733
-28.0,62.0,0.0007325758790907022,33.5715579344564
-28.0,64.0,0.0007461330272031663,33.5713301995598
-28.0,66.0,0.0007570218305124055,33.571147286778924
-28.0,68.0,0.0007652335037475755,33.57100934442454
-28.0,70.0,0.000770774650053041,33.570916262128705
-28.0,72.0,0.0007736657447946493,33.570867696310565
-28.0,74.0,0.0007739397469652687,33.57086309350391
-28.0,76.0,0.0007716408510506367,33.57090171132959
-28.0,78.0,0.0007668233869652097,33.57098263698432
-28.0,80.0,0.0007595508713073018,33.57110480319055
-28.0,82.0,0.000749895209712137,33.57126700161065
-28.0,84.0,0.000737936047310872,33.57146789377514
-28.0,86.0,0.0007237602621811279,33.57170601961055
-28.0,88.0,0.0007074615950335428,33.57197980368
-28.0,90.0,0.0006891404071497353,33.572287559270464
-28.0,92.0,0.0006689035576155078,33.57262749047695
-28.0,94.0,0.0006468643901302862,33.572997692446734
-28.0,96.0,0.000623142818990563,33.57339614995828
-28.0,98.0,0.0005978655031931845,33.57382073452047
-28.0,100.0,0.0005711660968965582,33.574269200189555
-28.0,102.0,0.0005431855636715,33.57473917831502
-28.0,104.0,0.0005140725410173186,33.57522817144119
-28.0,106.0,0.0004839837404760905,33.57573354661097
-28.0,108.0,0.000453084367326162,33.57625252834048
-28.0,110.0,0.00042154854226839067,33.576782191559715
-26.0,40.0,0.0004992015597876653,33.575477947209414
-26.0,42.0,0.0005381145682096244,33.57482435314778
-26.0,44.0,0.0005756889494382689,33.574193230978224
-26.0,46.0,0.0006116481621306624,33.57358922705223
-26.0,48.0,0.0006457468311611425,33.5730164644868
-26.0,50.0,0.0006777705729125172,33.572478546016534
-26.0,52.0,0.0007075352902949916,33.57197856575628
-26.0,54.0,0.0007348860395832713,33.57151912816202
-26.0,56.0,0.0007596955682208639,33.571102372526624
-26.0,58.0,0.0007818626163079712,33.57073000145405
-26.0,60.0,0.0008013100656766303,33.5704033119034
-26.0,62.0,0.0008179830101681107,33.57012322756605
-26.0,64.0,0.000831846809858261,33.569890331521826
-26.0,66.0,0.0008428851810983184,33.56970489830209
-26.0,68.0,0.0008510983638828629,33.56956692466168
