latitude,longitude,mach_m
-20,90.0,0.138975
-20,95.0,0.140737
-20,100.0,0.139408
-20,105.0,0.139086
-20,110.0,0.132265
-20,115.0,0.127754
-20,120.0,0.127489
-20,125.0,0.1262
-20,130.0,0.119362
-20,135.0,0.120204
-20,140.0,0.119674
-20,145.0,0.122177
-20,150.0,0.12003
-20,155.0,0.119249
-20,160.0,0.120295
-20,165.0,0.121838
-20,170.0,0.123815
-20,175.0,0.126506
-15,-180.0,0.137798
-15,-175.0,0.143197
-15,-170.0,0.141394
-15,-165.0,0.1465
-15,-160.0,0.154407
-15,-155.0,0.161806
-15,-150.0,0.165088
-15,-145.0,0.159783
-15,-140.0,0.157324
-15,-135.0,0.154237
-15,-130.0,0.140027
-15,-125.0,0.138272
-15,-120.0,0.135027
-15,-115.0,0.12938
-15,-110.0,0.131439
-15,-105.0,0.129427
-15,-100.0,0.131968
-15,-95.0,0.136012
-15,-90.0,0.131418
-15,-85.0,0.131841
-15,-80.0,0.131169
-15,-75.0,0.13239
-15,-70.0,0.132353
-15,-65.0,0.130435
-15,-60.0,0.12783
-15,-55.0,0.129768
-15,-50.0,0.128506
-15,-45.0,0.129943
-15,-40.0,0.129244
-15,-35.0,0.134042
-15,-30.0,0.13111
-15,-25.0,0.132353
-15,-20.0,0.135423
-15,-15.0,0.136101
-15,-10.0,0.141734
-15,-5.0,0.143063
-15,0.0,0.142441
-15,5.0,0.143973
-15,10.0,0.148821
-15,15.0,0.162744
-15,20.0,0.173264
-15,25.0,0.167275
-15,30.0,0.166241
-15,35.0,0.164462
-15,40.0,0.161249
-15,45.0,0.16678
-15,50.0,0.157664
-15,55.0,0.150487
-15,60.0,0.148303
-15,65.0,0.144175
-15,70.0,0.141235
-15,75.0,0.143376
-15,80.0,0.141795
-15,85.0,0.142042
-15,90.0,0.140655
-15,95.0,0.140827
-15,100.0,0.138152
-15,105.0,0.136863
-15,110.0,0.1311
-15,115.0,0.12823
-15,120.0,0.128889
-15,125.0,0.123862
-15,130.0,0.12029
-15,135.0,0.121334
-15,140.0,0.120056
-15,145.0,0.121234
-15,150.0,0.120561
-15,155.0,0.120045
-15,160.0,0.119207
-15,165.0,0.124994
-15,170.0,0.124874
-15,175.0,0.127787
-10,-180.0,0.141759
-10,-175.0,0.142812
-10,-170.0,0.141511
-10,-165.0,0.153198
-10,-160.0,0.158271
-10,-155.0,0.159236
-10,-150.0,0.16731
-10,-145.0,0.159424
-10,-140.0,0.15344
-10,-135.0,0.146128
-10,-130.0,0.138729
-10,-125.0,0.140181
-10,-120.0,0.135394
-10,-115.0,0.130597
-10,-110.0,0.131945
-10,-105.0,0.131729
-10,-100.0,0.132394
-10,-95.0,0.131893
-10,-90.0,0.132343
-10,-85.0,0.133012
-10,-80.0,0.129757
-10,-75.0,0.131641
-10,-70.0,0.131255
-10,-65.0,0.130016
-10,-60.0,0.126519
-10,-55.0,0.130107
-10,-50.0,0.126757
-10,-45.0,0.130332
-10,-40.0,0.128765
-10,-35.0,0.132816
-10,-30.0,0.133476
-10,-25.0,0.133297
-10,-20.0,0.135825
-10,-15.0,0.141596
