n,gradient_r2,gradient_axis_lat,gradient_axis_lon,raw_best_harmonic_k,raw_best_harmonic_r2,residual_best_harmonic_k,residual_best_harmonic_r2,l1_r2,l1_delta_r2,l2_r2,l2_delta_r2,l3_r2,l3_delta_r2
81,0.016642164039037732,72.99785407858425,51.73797471354051,8,0.08508965648017297,8,0.09233102520314795,0.016642164039037732,0.016642164039037732,0.09816893298417007,0.08152676894513233,0.18827729360481427,0.0901083606206442
81,0.027434780758695654,71.16455610497721,-98.74874663161648,2,0.04577370055445151,4,0.04369502153879801,0.027434780758695654,0.027434780758695654,0.12543983633219602,0.09800505557350037,0.17139585480522712,0.0459560184730311
81,0.017136432638008903,61.597278116816085,-45.45508246799658,2,0.1361947171755863,2,0.13265336804506356,0.017136432638008903,0.017136432638008903,0.23449120645049348,0.21735477381248458,0.2953838804795653,0.060892674029071836
81,0.011454687194351054,50.45327697412859,164.58744334989626,8,0.045934822474714476,8,0.04753627278527317,0.011454687194351054,0.011454687194351054,0.08890902211342155,0.0774543349190705,0.2041044206026743,0.11519539848925275
81,0.015150423010804381,47.49422953192475,-166.38157487360905,2,0.07776852530954881,3,0.1041629279572629,0.015150423010804381,0.015150423010804381,0.10263593880792943,0.08748551579712505,0.2747842413275505,0.1721483025196211
81,0.023409455596384077,53.01598406384003,-156.08045261466353,8,0.04160269576663522,5,0.043054671001437894,0.023409455596384077,0.023409455596384077,0.09150965097241714,0.06810019537603307,0.17637846501511567,0.08486881404269853
81,0.014046625991310124,71.79539241803322,-122.1470795191557,8,0.059872549010573484,8,0.06815880576440769,0.014046625991310124,0.014046625991310124,0.17834842930624695,0.16430180331493682,0.2354219871572376,0.057073557850990664
81,0.04078641147500983,49.51461880399893,-150.1193945289474,2,0.047529685214219186,3,0.04424612056133226,0.04078641147500983,0.04078641147500983,0.10127014242832988,0.06048373095332005,0.17074781463158417,0.06947767220325429
81,0.026575045284243037,41.44703876119517,-136.76922861676954,2,0.13054920523905567,2,0.11565701135936124,0.026575045284243037,0.026575045284243037,0.1811583271631444,0.15458328187890136,0.2638442440363101,0.08268591687316573
81,0.0019810185971889105,29.85929813583159,129.977332484156,5,0.03862239919653254,5,0.03769753258481834,0.0019810185971889105,0.0019810185971889105,0.10112176936488115,0.09914075076769224,0.2303696289819237,0.12924785961704255
81,0.021797445643710445,33.552276994069565,159.64206705166555,2,0.047025416718832425,2,0.05312041766465159,0.021797445643710445,0.021797445643710445,0.10176719246505306,0.07996974682134261,0.18905554949630854,0.08728835703125548
81,0.016426717994226236,67.11153422475772,-155.68327777629972,2,0.0622412642283936,2,0.059405253451991324,0.016426717994226236,0.016426717994226236,0.10041509736018084,0.0839883793659546,0.18050856968281592,0.08009347232263508
81,0.023836839551340194,74.73713694995918,-142.61084859979815,8,0.04794355466473166,3,0.05762016923968627,0.023836839551340194,0.023836839551340194,0.11850165415297897,0.09466481460163878,0.1968604789772792,0.07835882482430023
81,0.04198821207437853,74.92968522802998,-124.01764180418046,8,0.05026624634162569,8,0.058208014710939504,0.04198821207437853,0.04198821207437853,0.12785239182712171,0.08586417975274319,0.18902490374747838,0.061172511920356665
81,0.031560378485760876,26.046732385728728,176.47296403504504,2,0.06313767276835913,2,0.05870312802669475,0.031560378485760876,0.031560378485760876,0.13535232957874566,0.10379195109298478,0.23635905569105364,0.10100672611230799
81,0.02728653062919406,50.89241338909181,-166.29887669048628,2,0.049852833526967566,2,0.04407896162362723,0.02728653062919406,0.02728653062919406,0.11673171331626098,0.08944518268706692,0.2102973451673903,0.09356563185112932
81,0.02122668875676459,83.12973190001097,70.88841329986506,2,0.06423133985159024,2,0.0715714191778064,0.02122668875676459,0.02122668875676459,0.1209718424693158,0.09974515371255122,0.19995400960705467,0.07898216713773887
81,0.018655429995941386,71.7384819276128,-43.23925770681953,3,0.055465307932055175,3,0.07060514481566393,0.018655429995941386,0.018655429995941386,0.13152911557461477,0.11287368557867339,0.24193940506986866,0.11041028949525389
81,0.03915118164050324,58.809700267194486,-159.90549051204866,2,0.09952763371273465,2,0.08970782314572279,0.03915118164050324,0.03915118164050324,0.14448832487465546,0.10533714323415222,0.25313457297868647,0.108646248104031
81,0.03284010742276566,43.28176809059733,-168.97516655039357,2,0.0503362025045061,2,0.04169049916856826,0.03284010742276566,0.03284010742276566,0.08401164016010898,0.05117153273734332,0.22227721154985347,0.1382655713897445
81,0.03421303319890745,31.08129595112418,-149.2193621553979,2,0.08746285751188998,2,0.06751151460228944,0.03421303319890745,0.03421303319890745,0.12501988768212813,0.09080685448322068,0.23439540479993148,0.10937551711780336
81,0.019971389014808327,87.61209812205135,69.41836084806128,2,0.08036587553560937,2,0.08610568550296172,0.019971389014808327,0.019971389014808327,0.1424322312513211,0.12246084223651277,0.264807586174978,0.12237535492365692
