name,axis_lat,axis_lon,angle_deg,lambda_q,rotated_pole_lat,rotated_pole_lon,rotation_only_r2,constrained_joint_r2,quadrupole_gain_r2,rotation_only_rmse,constrained_joint_rmse,spearman_pred_obs,rotation_coeff,quadrupole_coeff_norm
ECDO_31E_104,0.0,31.0,104.0,100.0,-14.000000000000004,-59.00000000000001,0.006517711138410265,0.047598513084217364,0.0410808019458071,33.47423768121131,32.774846265953904,0.3881546439958601,2.46456075731407,7.335908713180795
ECDO_31E_26,0.0,31.0,26.0,300.0,64.00000000000001,-59.00000000000001,0.038012966760200495,0.04738177941976329,0.009368812659562797,32.93936631252479,32.77857526499155,0.38596154932377935,-6.351361371785595,3.7322661299370457
best_07_40N_110E_107,40.0,110.0,107.0,300.0,13.981297107547157,60.98011480143162,0.0006399939772067098,0.04735623537958378,0.04671624140237707,33.57311309707828,32.77901473361216,0.3916340088565457,2.600400491476171,6.402284824384349
ECDO_31E_52,0.0,31.0,52.0,300.0,38.0,-59.00000000000001,0.020913371970166295,0.04732569768224881,0.02641232571208252,33.23083013534446,32.77954010712861,0.38701535338824844,-5.430424502267824,4.930596479104345
ECDO_149W_104,0.0,-149.0,104.0,300.0,-14.000000000000004,121.0,0.0019985963377785465,0.04716675942114379,0.04516816308336524,33.550284475153056,32.78227436048891,0.38557554229609775,-3.1812314891446265,6.449389279450604
observed_77E_104,0.0,77.0,104.0,300.0,-14.000000000000004,-12.999999999999996,5.708754695932239e-05,0.04712782313775532,0.047070735590796,33.58290292783399,32.78294415601594,0.3836021503248287,-1.0381978458807235,6.824290365324906
observed_77E_107,0.0,77.0,107.0,300.0,-16.999999999999996,-12.999999999999996,1.5310502902043943e-05,0.0471188889160955,0.04710357841319346,33.58360445776333,32.78309784368272,0.38460654266542477,-0.8773955003373685,6.8536372288892204
ECDO_31E_107,0.0,31.0,107.0,300.0,-16.999999999999996,-59.00000000000001,0.00834371012981816,0.047087906106076716,0.038744195976258555,33.44346107005107,32.783630808511276,0.3926539059808462,3.070054876412009,6.5137723429076955
ECDO_31E_104,0.0,31.0,104.0,300.0,-14.000000000000004,-59.00000000000001,0.006517711138410265,0.04707409608124802,0.04055638494283775,33.47423768121131,32.78386836511173,0.3918194637498052,2.4919377941614003,6.6402572265827615
ECDO_31E_26,0.0,31.0,26.0,1000.0,64.00000000000001,-59.00000000000001,0.038012966760200495,0.04623839408335739,0.008225427323156898,32.93936631252479,32.79824069983385,0.39772519980954707,-6.334489338955818,2.616443352765551
ECDO_31E_52,0.0,31.0,52.0,1000.0,38.0,-59.00000000000001,0.020913371970166295,0.045774427965985076,0.02486105599581878,33.23083013534446,32.80621723301792,0.3868737990300561,-5.310382639205589,3.858374542585453
best_07_40N_110E_107,40.0,110.0,107.0,1000.0,13.981297107547157,60.98011480143162,0.0006399939772067098,0.045223757799550346,0.044583763822343636,33.57311309707828,32.81568187118214,0.3999977877520936,2.2104411681058114,5.346218548743745
ECDO_149W_104,0.0,-149.0,104.0,1000.0,-14.000000000000004,121.0,0.0019985963377785465,0.04468703389977868,0.04268843756200014,33.550284475153056,32.8249041818135,0.379411260011588,-2.9075771041477556,5.169502687526508
ECDO_31E_107,0.0,31.0,107.0,1000.0,-16.999999999999996,-59.00000000000001,0.00834371012981816,0.04431428498629708,0.03597057485647892,33.44346107005107,32.831307452005284,0.3891823848157763,3.088745546106943,5.072174553726756
observed_77E_104,0.0,77.0,104.0,1000.0,-14.000000000000004,-12.999999999999996,5.708754695932239e-05,0.044280659625582475,0.04422357207862315,33.58290292783399,32.8318850241234,0.3760082936451898,-0.8195943167870893,5.439348572523356
observed_77E_107,0.0,77.0,107.0,1000.0,-16.999999999999996,-12.999999999999996,1.5310502902043943e-05,0.04423411307187486,0.044218802568972815,33.58360445776333,32.83268452269391,0.3784794733601238,-0.6155826324743336,5.455004297736947
ECDO_31E_104,0.0,31.0,104.0,1000.0,-14.000000000000004,-59.00000000000001,0.006517711138410265,0.044211702995178404,0.03769399185676814,33.47423768121131,32.8330694384329,0.3851320685860658,2.5465523647293065,5.1839831043352405
ECDO_31E_26,0.0,31.0,26.0,3000.0,64.00000000000001,-59.00000000000001,0.038012966760200495,0.044124137721769596,0.006111170961569101,32.93936631252479,32.83457341732895,0.3737476343754573,-6.3663128478117885,1.5534876575022267
ECDO_31E_52,0.0,31.0,52.0,3000.0,38.0,-59.00000000000001,0.020913371970166295,0.04188048879963402,0.020967116829467725,33.23083013534446,32.8730857803741,0.3522269275439508,-5.173392199346148,2.648128850261974
best_07_40N_110E_107,40.0,110.0,107.0,3000.0,13.981297107547157,60.98011480143162,0.0006399939772067098,0.03766241453987529,0.03702242056266858,33.57311309707828,32.945367389383634,0.4162661278804154,1.675612832015886,3.689719403767651
ECDO_149W_104,0.0,-149.0,104.0,3000.0,-14.000000000000004,121.0,0.0019985963377785465,0.03764760197570438,0.035649005637925835,33.550284475153056,32.945620940475315,0.3647234301685141,-2.501001885447626,3.5517424992620636
ECDO_31E_107,0.0,31.0,107.0,3000.0,-16.999999999999996,-59.00000000000001,0.00834371012981816,0.03704497289995645,0.02870126277013829,33.44346107005107,32.95593466855881,0.4029715174277033,3.097217249258012,3.3172409800770506
ECDO_31E_104,0.0,31.0,104.0,3000.0,-14.000000000000004,-59.00000000000001,0.006517711138410265,0.036634433957498325,0.03011672281908806,33.47423768121131,32.962959011573965,0.4003102775513271,2.611853517674464,3.397033010730575
observed_77E_104,0.0,77.0,104.0,3000.0,-14.000000000000004,-12.999999999999996,5.708754695932239e-05,0.03618718087918826,0.03613009333222894,33.58290292783399,32.97060983213458,0.35387911325003735,-0.6101033339259901,3.6472880478817
observed_77E_107,0.0,77.0,107.0,3000.0,-16.999999999999996,-12.999999999999996,1.5310502902043943e-05,0.036072846765453526,0.03605753626255148,33.58360445776333,32.97256537453367,0.3605898383514095,-0.34320783321672116,3.6509093613242944
ECDO_31E_26,0.0,31.0,26.0,10000.0,64.00000000000001,-59.00000000000001,0.038012966760200495,0.04139394498097937,0.003380978220778874,32.93936631252479,32.88143138157882,0.351472105191261,-6.4471381184255945,0.7131519209466496
ECDO_31E_52,0.0,31.0,52.0,10000.0,38.0,-59.00000000000001,0.020913371970166295,0.034246426286961285,0.01333305431679499,33.23083013534446,33.003788309179996,0.28547896330084044,-5.028667587580676,1.3770146182132745
ECDO_31E_107,0.0,31.0,107.0,10000.0,-16.999999999999996,-59.00000000000001,0.00834371012981816,0.024593807791573385,0.016250097661755225,33.44346107005107,33.16831314895267,0.3627652167221681,3.0909778523679985,1.5714795418431218
ECDO_149W_104,0.0,-149.0,104.0,10000.0,-14.000000000000004,121.0,0.0019985963377785465,0.023656803744229404,0.021658207406450858,33.550284475153056,33.18424055626308,0.2789404213649648,-2.013362291402948,1.7848475262694277
ECDO_31E_104,0.0,31.0,104.0,10000.0,-14.000000000000004,-59.00000000000001,0.006517711138410265,0.02357717520872893,0.017059464070318664,33.47423768121131,33.18559374774947,0.3609092249091757,2.671757391807618,1.610278884715387
best_07_40N_110E_107,40.0,110.0,107.0,10000.0,13.981297107547157,60.98011480143162,0.0006399939772067098,0.022382858678929085,0.021742864701722375,33.57311309707828,33.205883109028754,0.4412754466304783,1.1840161776630425,1.8042194500221744
observed_77E_104,0.0,77.0,104.0,10000.0,-14.000000000000004,-12.999999999999996,5.708754695932239e-05,0.021284274307332485,0.021227186760373162,33.58290292783399,33.224535207131446,0.3349829845094947,-0.4367724501959931,1.7792460561141588
observed_77E_107,0.0,77.0,107.0,10000.0,-16.999999999999996,-12.999999999999996,1.5310502902043943e-05,0.02112453290817029,0.021109222405268246,33.58360445776333,33.227246473058464,0.34543696238788346,-0.10525358250814736,1.7763035193551384
ECDO_31E_26,0.0,31.0,26.0,30000.0,64.00000000000001,-59.00000000000001,0.038012966760200495,0.03952919825880252,0.0015162314986020275,32.93936631252479,32.91339745942135,0.3350020597853963,-6.504568314306864,0.29092651376622625
ECDO_31E_52,0.0,31.0,52.0,30000.0,38.0,-59.00000000000001,0.020913371970166295,0.027349680833383627,0.006436308863217333,33.23083013534446,33.12142380325051,0.22878015571447663,-4.933482379770404,0.5939089221205265
ECDO_31E_107,0.0,31.0,107.0,30000.0,-16.999999999999996,-59.00000000000001,0.00834371012981816,0.015511319911347465,0.007167609781529305,33.44346107005107,33.32237859213837,0.3660335599502246,3.0794721316154186,0.6350655429735649
ECDO_31E_104,0.0,31.0,104.0,30000.0,-14.000000000000004,-59.00000000000001,0.006517711138410265,0.014040147374273393,0.007522436235863128,33.47423768121131,33.34726697761483,0.36201262180672644,2.697549385410479,0.6506403458450851
ECDO_149W_104,0.0,-149.0,104.0,30000.0,-14.000000000000004,121.0,0.0019985963377785465,0.011995651671229512,0.009997055333450966,33.550284475153056,33.38182367718252,0.1397266657701331,-1.7167666299927482,0.7455333142572573
