left_out_cell,left_out_n,remaining_n,l1_r2,l1_l2_r2,l2_delta_r2,residual_l2_r2,l1_axis_lat,l1_axis_lon,l2_norm_residual_model
7_16,2,3174,0.002441170179485641,0.08248613438842145,0.08004496420893581,0.04031897981180699,-38.43579526749856,-113.88216821994986,24.933030892812912
7_5,102,3074,0.001796247463417111,0.08094917841194116,0.07915293094852405,0.0408339894731331,-35.01259629369884,-118.50249513484964,25.278077531613377
7_7,5,3171,0.002487947637390686,0.08262566806308114,0.08013772042569045,0.04025323841798101,-37.78362235835031,-109.38397845422286,24.84194937425731
7_9,10,3166,0.0024822083212262536,0.08547252149699325,0.082990313175767,0.04079730829130912,-36.58156034670537,-111.36857695748508,25.158676063840694
8_10,10,3166,0.0024035464954653696,0.08285028831595387,0.0804467418204885,0.04043857900370229,-38.104817306416464,-110.284924365164,25.0810151979183
8_11,79,3097,0.0015397808848789385,0.08138756917011603,0.07984778828523709,0.04082204584692484,-67.84008252390416,-96.88787406292164,28.944618765226803
8_14,9,3167,0.0023660221662029635,0.08302882913386578,0.08066280696766281,0.04053309682148665,-38.86464207436671,-112.64750248546153,25.1023150446421
8_15,85,3091,0.005250707658610243,0.09268000284094546,0.08742929518233522,0.05010099943839563,-11.114340266645137,-79.94675442093462,29.412624254891217
8_16,20,3156,0.008090547734891484,0.11230095843274812,0.10421041069785664,0.05880981571421551,-8.31112897556517,-59.753940694833496,31.87598549093798
8_4,135,3041,0.0012008791732660562,0.08020864508948877,0.07900776591622272,0.042936095447965394,-55.35600287018144,-133.00134908516225,23.224860744199706
8_5,24,3152,0.0023790778758189246,0.08275553791538737,0.08037646003956844,0.04056107061171932,-37.40764960456166,-111.29677625303242,25.074387556901186
8_7,13,3163,0.002482716267481866,0.0830360305805885,0.08055331431310664,0.0400292578777276,-37.90973153880344,-108.25603500712312,24.801687402879676
9_11,7,3169,0.0023406737618898443,0.08265475940417277,0.08031408564228293,0.04052216779365958,-38.96627001559269,-109.92984837941799,25.291893592255708
9_15,25,3151,0.0022672347137302484,0.08594160396487882,0.08367436925114857,0.04095855408171856,-38.841122966582255,-116.30961356349,25.06357155170615
9_4,27,3149,0.0021926683620521192,0.08220054054343873,0.08000787218138661,0.04080522430308153,-40.04016029089977,-113.07635496717039,24.768455430767034
9_6,1,3175,0.002469985406214459,0.08269946683307905,0.08022948142686459,0.040426991763433784,-37.11623708181444,-110.32304983192496,24.986118688147325
9_8,1,3175,0.002413557140288125,0.08190740427315746,0.07949384713286933,0.04004835573378218,-37.85844687470756,-108.17009587343978,24.736819449085466
