mode,n,l1_r2,l1_l2_r2,l2_delta_r2,residual_l2_r2,l2_norm_residual_model
global,3176,0.0004019344153056714,0.0029742527814003994,0.002572318366094728,0.0018963755447487518,5.959663234919752
global,3176,0.0012574064062853552,0.001833131330902904,0.0005757249246175489,0.0003770827978443192,1.47251464702575
global,3176,0.000936301853101229,0.0017765697564740002,0.0008402679033727711,0.0006169767591009956,2.8605103198129704
global,3176,0.002394992744921942,0.003648061408731751,0.0012530686638098087,0.0008984557061135767,4.059492195105113
global,3176,0.00218752497384056,0.006367054840428321,0.004179529866587761,0.003432884533975944,8.13455407641025
global,3176,0.002316481901053824,0.0032326131750921583,0.0009161312740383343,0.0006794339709522701,4.456841952129903
global,3176,0.0008493426278719518,0.0027966492268138854,0.0019473065989419336,0.0013002972790001621,3.7526618789695823
global,3176,0.0011859366345136069,0.005119703921037999,0.003933767286524392,0.002497355966527004,5.536723205112391
global,3176,0.0003659815990344484,0.003984871560255843,0.0036188899612213943,0.0028001264358652467,6.453446415770248
global,3176,0.0012576573258042956,0.0037549848904423477,0.002497327564638052,0.002044597803130488,6.049615092547489
global,3176,0.0006991128374649325,0.0013573678306105785,0.0006582549931456461,0.0004226024823746899,2.824742600761024
global,3176,0.0001305668486383249,0.0024022387090547603,0.0022716718604164354,0.001693064248428744,3.3303154086621882
global,3176,0.0007723389482354737,0.0030607170117175064,0.0022883780634820328,0.001602863890405759,4.500199612747688
global,3176,0.0011561619606295093,0.0037770198949274025,0.0026208579342978933,0.0015703407400751157,6.571386268000372
global,3176,0.001419406178293281,0.003085896750687711,0.00166649057239443,0.0011009970963586913,3.869829299282545
global,3176,0.00022251046639598648,0.0014649883930638596,0.0012424779266678732,0.0010208462661162043,4.301294483942733
global,3176,0.0014885576468521844,0.002044419148619636,0.0005558615017674517,0.00035390994583417434,2.2423998388037076
global,3176,0.0010282906397537372,0.001631843019677226,0.0006035523799234888,0.0005035178874167601,2.1798924386456275
global,3176,0.0017823147973221598,0.0030527959176125385,0.0012704811202903787,0.0010211694923232262,3.3807380510094953
global,3176,0.0011682622092081818,0.0022715362151942697,0.001103274005986088,0.0008787447591382946,3.9110948335496962
global,3176,0.0009668370348431266,0.0011716665989121022,0.00020482956406897568,0.00013408646773527266,1.4366679122065196
global,3176,0.0003341259717081213,0.003743165043774588,0.0034090390720664665,0.0020092089408750846,5.1757451897462365
global,3176,0.0024400879015900045,0.0039371226816110605,0.001497034780021056,0.0012470581155814564,4.346309184805348
global,3176,0.0013679964709830683,0.0026846751551814485,0.0013166786841983802,0.0011105660794011873,6.172187436770487
global,3176,0.0008982383999647237,0.0028661538026010236,0.0019679154026363,0.0014996751733573621,3.6093813429512576
global,3176,0.0018457389322193984,0.006427217065095414,0.004581478132876016,0.0032696905918213615,9.014000027904679
global,3176,0.001009339534670417,0.003930976016085164,0.0029216364814147466,0.0026090426539808753,5.768178476593329
global,3176,0.002030632266112886,0.0032700745021625455,0.0012394422360496593,0.0006981208044762877,3.34197932737517
